case_id	contrast	reference
sub-18_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-18_inv-1_part-mag_MP2RAGE.nii.gz
sub-18_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-18_inv-2_part-mag_MP2RAGE.nii.gz
sub-18_UNIT1	UNIT1	sub-18_UNIT1.nii.gz
sub-19_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-19_inv-1_part-mag_MP2RAGE.nii.gz
sub-19_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-19_inv-2_part-mag_MP2RAGE.nii.gz
sub-19_UNIT1	UNIT1	sub-19_UNIT1.nii.gz
sub-20_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-20_inv-1_part-mag_MP2RAGE.nii.gz
sub-20_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-20_inv-2_part-mag_MP2RAGE.nii.gz
sub-20_UNIT1	UNIT1	sub-20_UNIT1.nii.gz
sub-22_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-22_inv-1_part-mag_MP2RAGE.nii.gz
sub-22_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-22_inv-2_part-mag_MP2RAGE.nii.gz
sub-22_UNIT1	UNIT1	sub-22_UNIT1.nii.gz
sub-23_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-23_inv-1_part-mag_MP2RAGE.nii.gz
sub-23_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-23_inv-2_part-mag_MP2RAGE.nii.gz
sub-23_UNIT1	UNIT1	sub-23_UNIT1.nii.gz
sub-25_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-25_inv-1_part-mag_MP2RAGE.nii.gz
sub-25_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-25_inv-2_part-mag_MP2RAGE.nii.gz
sub-25_UNIT1	UNIT1	sub-25_UNIT1.nii.gz
sub-27_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-27_inv-1_part-mag_MP2RAGE.nii.gz
sub-27_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-27_inv-2_part-mag_MP2RAGE.nii.gz
sub-27_UNIT1	UNIT1	sub-27_UNIT1.nii.gz
sub-28_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-28_inv-1_part-mag_MP2RAGE.nii.gz
sub-28_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-28_inv-2_part-mag_MP2RAGE.nii.gz
sub-28_UNIT1	UNIT1	sub-28_UNIT1.nii.gz
sub-29_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-29_inv-1_part-mag_MP2RAGE.nii.gz
sub-29_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-29_inv-2_part-mag_MP2RAGE.nii.gz
sub-29_UNIT1	UNIT1	sub-29_UNIT1.nii.gz
sub-30_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-30_inv-1_part-mag_MP2RAGE.nii.gz
sub-30_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-30_inv-2_part-mag_MP2RAGE.nii.gz
sub-30_UNIT1	UNIT1	sub-30_UNIT1.nii.gz
sub-36_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-36_inv-1_part-mag_MP2RAGE.nii.gz
sub-36_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-36_inv-2_part-mag_MP2RAGE.nii.gz
sub-36_UNIT1	UNIT1	sub-36_UNIT1.nii.gz
sub-38_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-38_inv-1_part-mag_MP2RAGE.nii.gz
sub-38_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-38_inv-2_part-mag_MP2RAGE.nii.gz
sub-38_UNIT1	UNIT1	sub-38_UNIT1.nii.gz
sub-39_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-39_inv-1_part-mag_MP2RAGE.nii.gz
sub-39_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-39_inv-2_part-mag_MP2RAGE.nii.gz
sub-39_UNIT1	UNIT1	sub-39_UNIT1.nii.gz
sub-40_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-40_inv-1_part-mag_MP2RAGE.nii.gz
sub-40_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-40_inv-2_part-mag_MP2RAGE.nii.gz
sub-40_UNIT1	UNIT1	sub-40_UNIT1.nii.gz
sub-41_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-41_inv-1_part-mag_MP2RAGE.nii.gz
sub-41_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-41_inv-2_part-mag_MP2RAGE.nii.gz
sub-41_UNIT1	UNIT1	sub-41_UNIT1.nii.gz
